id,insee,num_demand,lat,lon,v_commune_2024_Insee_LIBELLE
39,"66198","2",42.73329569,2.41345465,Sournia
723,"66146","29",42.50832195,1.84049739,Porta
198,"66112","28",42.59209880,2.71988656,Montauriol
753,"66149","86",42.61985853,2.44139586,Prades
102,"66119","25",42.68474641,2.36575848,Mosset
599,"66125","178",42.59126287,2.26591486,Olette
806,"66149","182",42.59841941,2.42378527,Prades
441,"66198","2",42.73696495,2.41155411,Sournia
2225,"66221","44",42.51955656,2.48172921,Valmanya
2273,"66119","106",42.70142401,2.27395877,Mosset
491,"66112","27",42.59040006,2.73198068,Montauriol
550,"66112","27",42.58750974,2.73427400,Montauriol
602,"66125","178",42.59176165,2.25243129,Olette
551,"66112","27",42.58807575,2.73273916,Montauriol
552,"66112","27",42.58908554,2.73515995,Montauriol
69,"66074","112",42.66143572,2.46231458,Eus
608,"66157","38",42.58874159,2.17547772,Railleu
3515,"66190","228",42.82560135,2.82473449,Salses-le-Château
1203,"66150","47",42.41548265,2.45851276,Prats-de-Mollo-la-Preste
553,"66112","27",42.58857574,2.73401523,Montauriol
611,"66125","178",42.58673404,2.27232021,Olette
440,"66095","98",42.48961088,1.85102575,Latour-de-Carol
271,"66198","69",42.71048268,2.38750366,Sournia
642,"66090","93",42.57901668,2.28286389,Jujols
129,"66119","106",42.70545854,2.32739887,Mosset
90,"66150","110",42.42166283,2.45586573,Prats-de-Mollo-la-Preste
517,"66150","35",42.40845924,2.36721421,Prats-de-Mollo-la-Preste
116,"66122","46",42.63399421,2.26482349,Nohèdes
650,"66211","188",42.57036183,2.73920979,Tordères
788,"66066","17",42.50129780,1.89270502,Enveitg
1321,"66122","149",42.63468409,2.23015755,Nohèdes
690,"66044","192",42.61192545,2.67139426,Castelnou
873,"66044","192",42.61065966,2.67751492,Castelnou
655,"66090","93",42.57699556,2.28142250,Jujols
2947,"66066","17",42.50283545,1.87013723,Enveitg
566,"66122","10",42.62501637,2.30237896,Nohèdes
887,"66044","155",42.59786620,2.72083648,Castelnou
964,"66090","56",42.57840030,2.28121503,Jujols
612,"66125","178",42.58698264,2.27517930,Olette
3516,"66069","228",42.82350906,2.82313439,Espira-de-l'Agly
1086,"66198","2",42.73574647,2.42448978,Sournia
1088,"66151","175",42.74052099,2.45188110,Prats-de-Sournia
1089,"66151","175",42.74230514,2.44820596,Prats-de-Sournia
1091,"66151","175",42.73941673,2.45306137,Prats-de-Sournia
1093,"66198","2",42.73565537,2.41273350,Sournia
3028,"66102","220",42.47443144,2.29603269,Mantet
864,"66206","108",42.43813229,2.51742599,Le Tech
1103,"66044","155",42.59440463,2.70771173,Castelnou
3665,"66086","202",42.58625585,2.55967055,Glorianes
1205,"66090","93",42.57940173,2.28278586,Jujols
2526,"66130","159",42.40909523,2.01217047,Osséja
3132,"66150","32",42.40771517,2.35651638,Prats-de-Mollo-la-Preste
1382,"66193","126",42.59149597,2.31648087,Serdinya
617,"66125","168",42.58374586,2.23667727,Olette
38,"66150","76",42.45073204,2.40350475,Prats-de-Mollo-la-Preste
3180,"66150","76",42.44211738,2.41912248,Prats-de-Mollo-la-Preste
3159,"66150","76",42.44051502,2.40322728,Prats-de-Mollo-la-Preste
1068,"66074","20",42.67900422,2.42225011,Eus
1383,"66090","56",42.57234166,2.29091532,Jujols
1388,"66090","56",42.57778384,2.28582945,Jujols
1437,"66193","126",42.59192580,2.31878815,Serdinya
3205,"66150","31",42.45924794,2.42688423,Prats-de-Mollo-la-Preste
1379,"66150","81",42.36998591,2.45876295,Prats-de-Mollo-la-Preste
1953,"66018","134",42.54407184,2.56943031,La Bastide
1140,"66193","39",42.57962739,2.32011991,Serdinya
1138,"66149","143",42.59229557,2.43273161,Prades
1727,"66193","126",42.58311706,2.30883786,Serdinya
1787,"66112","28",42.58927418,2.71594148,Montauriol
1878,"66119","51",42.69115974,2.32286815,Mosset
830,"66005","71",42.51538284,1.94339135,Angoustrine-Villeneuve-des-Escaldes
3220,"66146","226",42.52113651,1.78892791,Porta
3221,"66146","226",42.51797463,1.79779227,Porta
3222,"66146","226",42.52224370,1.79469347,Porta
1141,"66193","39",42.57801381,2.32584580,Serdinya
740,"66150","31",42.45682460,2.45220120,Prats-de-Mollo-la-Preste
1142,"66193","39",42.57405490,2.33543467,Serdinya
